State (Emission order)	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000
1	3.37070	3.33766	3.26055	3.17242	3.16141	3.07329	2.96313	2.87501	2.77036	2.69326	2.66021	2.63267	2.67123	2.75384	2.75935	2.86950	2.96864	2.96864	2.96864	2.94110	2.86399
2	1.90628	1.88843	1.92770	1.96161	1.97232	1.95804	1.98839	2.00802	2.00623	1.97768	1.96518	2.03658	2.05086	2.05800	2.06157	2.05978	2.05621	2.06692	2.08656	2.11154	2.14010
3	2.09755	2.10532	2.05871	2.01727	2.01468	1.97843	1.94477	1.84636	1.83600	1.76091	1.68322	1.74537	1.74796	1.65991	1.53561	1.55374	1.57964	1.56151	1.60812	1.61330	1.66250
4	1.17010	1.16082	1.15566	1.12986	1.13089	1.13502	1.11129	1.13812	1.16701	1.22892	1.24956	1.23821	1.25575	1.24337	1.29289	1.29083	1.28773	1.35377	1.33417	1.33933	1.35068
5	3.45353	3.51796	3.60043	3.72672	3.73445	3.78342	3.76795	3.69321	3.52054	3.34013	3.34528	3.43806	3.52311	3.52827	3.51538	3.45095	3.40971	3.31178	3.25250	3.16745	3.10817
6	3.71892	3.70215	3.66428	3.63073	3.60964	3.58759	3.56123	3.52768	3.51618	3.49509	3.44668	3.42942	3.41792	3.40498	3.38485	3.34027	3.31295	3.27796	3.24585	3.20223	3.14903
7	0.98311	0.99356	1.00292	1.01098	1.01446	1.02687	1.04951	1.07825	1.09827	1.12200	1.14312	1.12744	1.11743	1.12570	1.13006	1.15270	1.16119	1.17120	1.18688	1.20342	1.21670
8	1.08232	1.09919	1.09612	1.08999	1.09765	1.10072	1.08999	1.08232	1.04860	1.02867	1.01794	1.03020	1.02713	1.02100	1.03940	1.03173	1.02560	1.02253	1.00107	1.01180	1.03633
9	0.39550	0.39571	0.39676	0.39788	0.39788	0.40006	0.40237	0.40426	0.40756	0.41317	0.41744	0.41926	0.41926	0.42010	0.42102	0.42165	0.42452	0.42634	0.42733	0.43027	0.43307
10	1.10125	1.09513	1.09635	1.09839	1.10166	1.09574	1.08961	1.08185	1.07573	1.06286	1.05694	1.05490	1.05612	1.05735	1.05715	1.05429	1.04898	1.04449	1.04612	1.04265	1.03958
