State (Emission order)	H3K27ac	H3K4me3	H3K4me1	H3K36me3	H3K9me3	H3K27me3
1	0.8920464024951452	0.984422468166638	0.19081730911166972	0.05078047120962374	0.06409002985039801	0.010002673774554275
2	0.8794140764741041	0.8771621711970937	0.9709559473076514	0.27222581445245436	0.16675217680134344	0.01792874006146401
3	0.10933963361584734	0.9297500072734617	0.6754130827356098	0.12315484617194841	0.14734554516909065	0.19018756563204106
4	0.07067469193836311	0.11969627631101212	0.6349024709255492	0.05225202188780987	0.08259629176966776	0.07057185503531482
5	0.22067232107425422	0.3482890177013303	0.7015744408169785	0.7979114998467279	0.12486024921424065	0.010383234024661656
6	0.013893725999226966	0.01691155035682375	0.03578394592498985	0.6575191934143729	0.027821377956741396	0.006586763226842989
7	0.003707454730550473	0.014687845077194155	0.01775316507583466	0.037645039858653265	0.07622237687680385	0.014937808768453253
8	0.012432252080865583	0.15459629116266613	0.059823110487504855	0.22298549737804876	0.723723238008802	0.054545446839293445
9	7.512347171372537E-4	0.005706342833087573	0.0037574943834127908	0.003070824504566222	0.015580453942256482	0.017967599304327234
10	0.0014511820667344997	0.010995198854905791	0.020446666860670485	0.018350617193592128	0.030697119411348766	0.34325223736202853
