State (Emission order)	Genome %	CpGIsland.hg38.bed.gz	RefSeqExon.hg38.bed.gz	RefSeqGene.hg38.bed.gz	RefSeqTES.hg38.bed.gz	RefSeqTSS.hg38.bed.gz	RefSeqTSS2kb.hg38.bed.gz
1	1.69068	0.59127	1.44148	1.74106	1.15332	0.34255	0.41777
2	6.28319	0.67423	0.48447	0.79708	0.63165	0.40023	0.52632
3	51.67619	0.16457	0.35965	0.67754	0.46355	0.24833	0.34140
4	20.26007	0.81282	0.98912	1.01615	1.01438	0.88660	1.14457
5	1.50789	12.79570	2.55491	1.13433	1.78520	7.72601	5.83978
6	3.29687	0.76622	0.90393	1.12824	1.09704	1.15662	2.32786
7	1.07002	1.25718	0.96940	1.42491	1.01597	1.47561	1.75752
8	2.26677	16.99097	3.09184	1.44788	1.71737	18.23553	10.88963
9	2.82271	0.80502	2.98681	2.21790	3.22775	1.23212	2.36409
10	9.12562	0.63984	3.57066	2.18628	3.19714	0.46629	0.59581
Base	100	0.7078700817	2.4558345144	41.8283547994	0.0009347998	0.0010583924	3.4277679686
