State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8368111029278994	0.04368295918363453	0.0036876986871978183	0.0	0.0	0.004719386715802409	0.04375514013218373	0.0	0.0074798823960055445	0.059863829957276585
2	0.011095064744161488	0.8551362029895553	0.08195849061930251	0.015238549866168622	0.0028339052182416737	0.022375727294806115	0.010308569115766105	4.498346149139354E-4	0.0	6.03655537084283E-4
3	1.0002019803502651E-4	0.01103598148003518	0.9638383977372632	0.011604722475653015	2.818141721353317E-4	0.01044324486818279	0.0	2.518825756849959E-4	0.0	0.0024439364930104067
4	0.0	0.004913297148575019	0.02905333216965235	0.9416137296662703	0.02123607054812159	0.0031255295191288893	0.0	0.0	0.0	5.804094825205963E-5
5	0.0	0.012178801693355045	0.006609275818130545	0.264547723323512	0.6671149462790733	0.0291423985699129	0.001027976703712373	0.01883333587736905	0.0	5.455417349348712E-4
6	0.00224978492940246	0.045272495353900925	0.15463796335020222	0.018167974455480254	0.013060452964353637	0.6394122627870968	0.012264458249420488	0.0917546356062819	0.004994436614903662	0.018185535688957408
7	0.0717251632862754	0.06318096029154996	0.0	0.0	0.0013806433573311644	0.040505291437687066	0.7212313543585406	0.07447649760142977	0.0270553513228488	4.4473834433733097E-4
8	7.27813094571574E-8	0.001078299186425705	0.006067724784477577	0.0	0.013737505221749473	0.1328944006015512	0.0345488937443458	0.7576978536463691	0.053790777475056666	1.8447255871502577E-4
9	0.004115127566235711	0.0	0.0	0.0	0.0	0.007096073175770466	0.010776717674154113	0.04407309917146644	0.8186292623356861	0.11530972007668722
10	0.011847586267770752	3.44091528613891E-4	0.013368020465431969	1.0327994647359558E-4	1.244021318960394E-4	0.007018545337494685	6.518818160784732E-5	3.715827044833879E-5	0.03428894893921149	0.9328027789310512
