State (Emission order)	H3K27me3	H3K9me3	H3K4me3	H3K27ac	H3K4me1	H3K36me3
1	0.029644129188441424	0.4435587619825215	0.8615954705019363	0.9938488690308344	0.9985392527601007	0.14922308363522685
2	0.038383059912460556	0.09187434502237969	0.9998980506663054	0.871559274988897	0.7474658123390897	0.04887301357813896
3	0.009279604915675258	0.27430207439803644	0.9555302274856651	0.7787843577472664	0.9853314475553147	0.8813549511928289
4	0.010478061243455909	0.09466245784059596	0.15475380092835792	0.25314283115310854	0.7947695630333251	0.877436249910729
5	0.005530525496540715	0.017422657737553013	0.006220610387459659	0.010082992665303369	0.017732049874714793	0.8124887078534896
6	0.006847793469733196	0.8764795403003605	0.09872758633651399	0.01879241366821415	0.08415221969930853	0.8011131993962768
7	0.009987645806319634	0.5142886858604312	0.022631798226501583	0.001088800106489033	0.0055535537405028085	0.028960360223725008
8	0.008752440837024013	0.02539836644399538	0.0016642455012607334	1.1208761002593341E-4	0.0010593645695948343	0.0011633587156650359
9	0.5401835318688518	0.682023594713346	0.022849319177787073	2.3219880570307707E-4	0.028364469225129245	0.035110727052697806
10	0.10229919797865948	0.01700497181962293	0.0021572022323150695	3.686784071869652E-4	0.004738200562890021	0.01208528955420931
11	0.7016967137427341	0.017687745431504778	0.002348413631558942	2.2223367091535153E-4	0.01313853289429702	0.014071456752390372
12	0.7892156385899952	0.14933882611889	0.427104405666431	0.045575598700633754	0.8672974349331036	0.05037988113589058
13	0.061958470257289726	0.04965481107019798	0.20103756777478507	0.061109467826300015	0.7935287492992844	0.059772660928393256
14	0.056635979103658085	0.7809202535550878	0.37047295421311016	0.13170107492748861	0.8588673027336956	0.15458539262657622
15	0.2950122350974446	0.9785979070476978	0.9207521577191481	0.10590600163809635	0.2989488824557938	0.4707505407301123
