State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.77318	2.89251	3.01636	2.95293	2.80037	2.53453	2.06780	1.44399	0.90476	0.74918	0.64949	0.56793	0.61475	0.66913	0.70991	0.83226	0.99085	1.17362	1.43644	1.49685	1.56180
2	2.34448	2.41343	2.51687	2.64985	2.65478	2.55381	2.12037	1.59828	1.26090	1.20425	1.20425	1.14022	1.10575	1.10082	1.11806	1.22642	1.34463	1.42343	1.45545	1.40866	1.40866
3	4.39005	5.00324	5.91489	6.65290	7.95526	9.33360	11.08093	12.52438	13.58255	13.68566	13.63139	14.44537	14.80894	14.43451	13.57713	12.16081	10.60340	9.24134	7.91728	6.75600	5.97459
4	1.71231	1.74042	1.74790	1.76534	1.73722	1.68490	1.61051	1.53755	1.46174	1.42651	1.43398	1.43718	1.45320	1.50552	1.56994	1.63472	1.69843	1.72548	1.75608	1.76747	1.75858
5	0.90732	0.86035	0.80770	0.74575	0.67529	0.60740	0.54733	0.49955	0.46824	0.44529	0.43179	0.42896	0.44637	0.46783	0.48605	0.50495	0.52547	0.55611	0.58256	0.61563	0.64006
6	1.44960	1.50118	1.46589	1.41431	1.35459	1.25958	1.12385	0.98540	0.89039	0.86325	0.83339	0.84696	0.90125	0.86868	0.89854	0.96097	0.96912	0.96369	0.94468	0.86053	0.89039
7	0.24434	0.24109	0.23804	0.23244	0.22722	0.22172	0.21503	0.20972	0.20342	0.20116	0.19909	0.19949	0.20047	0.20165	0.20342	0.20539	0.20863	0.21040	0.21296	0.21552	0.21837
8	0.93078	0.87283	0.80706	0.72895	0.63446	0.52133	0.42381	0.35276	0.31773	0.30539	0.29279	0.29178	0.30262	0.30942	0.32126	0.33109	0.35024	0.37468	0.39988	0.42558	0.43893
9	0.89525	0.87737	0.85949	0.82373	0.75604	0.66920	0.55043	0.46870	0.43166	0.39462	0.37547	0.37547	0.37547	0.39718	0.41378	0.44699	0.44699	0.46359	0.50573	0.52106	0.55298
10	1.33227	1.31815	1.32756	1.41230	1.58648	1.79833	1.89719	1.67593	1.32285	1.14867	1.07806	0.97449	0.94153	0.92741	1.08747	1.16279	1.35110	1.48291	1.63356	1.68534	1.66651
11	0.42940	0.38386	0.38386	0.37410	0.35133	0.34157	0.35133	0.34157	0.35784	0.40663	0.38711	0.40663	0.40013	0.39687	0.38386	0.37735	0.39037	0.40013	0.41314	0.44567	0.48470
12	0.92342	0.87150	0.79334	0.72411	0.64539	0.58007	0.51140	0.46059	0.43715	0.41091	0.40253	0.39751	0.40756	0.42542	0.43715	0.46283	0.49632	0.55160	0.62362	0.71964	0.80004
13	0.66397	0.62869	0.59569	0.57009	0.53254	0.51263	0.49556	0.48873	0.48759	0.50239	0.51832	0.52059	0.53652	0.53595	0.54733	0.55302	0.56042	0.57123	0.58944	0.61390	0.67421
14	1.08305	0.99369	0.94687	0.90219	0.91283	0.82559	0.76814	0.64473	0.53833	0.54046	0.56174	0.59579	0.57238	0.60004	0.62132	0.65962	0.73409	0.83836	0.95751	1.19157	1.46606
15	4.97999	4.45943	3.67860	2.90355	2.17477	1.78146	1.57902	1.42285	1.33609	1.26090	1.26669	1.34188	1.41707	1.54432	1.82773	2.78208	4.49992	7.20103	9.85008	12.49913	14.37313
16	2.83308	2.84000	2.95069	2.82962	2.73276	2.57018	2.34879	2.24502	2.06168	1.74343	1.57393	1.78148	2.07552	2.54943	3.51454	4.65607	5.53817	6.23693	6.86304	7.00487	7.10864
17	4.08219	4.64878	5.29603	6.28756	7.45221	8.62867	9.93890	10.98552	10.87535	7.79059	4.02710	4.38516	5.54391	7.69025	9.46871	9.89365	9.18935	7.93224	6.88759	5.94327	5.19569
18	5.55816	6.23659	6.89381	7.70298	8.52628	9.17644	9.28951	8.23654	6.40619	4.57585	3.14480	3.11653	3.37094	4.19070	5.85497	8.27540	10.45203	11.36720	10.88664	10.05981	9.04217
19	4.01595	4.23380	4.45164	4.89681	5.60718	6.19442	6.99950	8.39182	10.70289	15.96909	16.51844	10.75972	8.40130	6.95214	6.30808	6.67747	6.80060	7.27418	7.60568	8.56231	8.97906
20	5.00065	5.69084	6.85635	8.41906	10.95193	15.13867	20.91416	29.09230	39.33451	53.42487	70.08066	72.05357	66.40831	55.44336	42.44038	30.60942	22.24897	16.59720	12.44952	9.68224	7.79398
