State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0.7145569857471746	0.011123065899804281	0.0	0.0	0.0	0.00493048733143019	0.0	0.09885713599022306	0.0	0.010751930597185412	0.0015053030571853356	0.04346841927253935	0.0	0.01006247823338718	0.0	0.0	0.04727653322019788	0.05746766065087268	0.0	0.0
2	0.017772750241442127	0.7025855623913951	0.02006761625357571	0.0	0.2130816824529077	0.0	0.0021387474763907175	0.0	0.0	0.0	0.0	0.0012380979669617863	0.0	0.0	0.0	0.0	0.0	0.043115543217326746	0.0	0.0
3	0.0	0.048411792222642955	0.7687571174695129	0.12887800889789558	0.0	0.02146583081993554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017263036186860814	0.015224214403152251	0.0
4	0.0	0.0	0.008534103582396582	0.925595478440284	0.06238503332367971	0.0033879203893662974	0.0	0.0	0.0	0.0	0.0	9.746426427327296E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.014306211039691728	0.0	0.02562801089547175	0.9437602620936801	0.00794075034744276	0.0038504316481547157	0.0036669644062303406	0.0	6.725371863387796E-6	0.0	3.669365224399897E-4	0.0	0.0	0.0	0.0	0.0	1.1820850138629208E-4	3.5549917363881454E-4	0.0
6	0.005712067244872226	0.0	0.008970853986311724	0.02185291837826433	0.12989568050113895	0.7933944848123332	0.0	0.02347659345493071	0.016545786875895686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.516147462531246E-4	0.0
7	0.0	1.538799621021034E-4	0.0	0.0	0.002894630242443953	0.0	0.9950800955727265	0.0	0.0010200355171211008	0.0	0.0	2.789298567213692E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.72428848885077E-4	0.0
8	0.01601384240158563	0.0	0.0	0.0	0.005944967604856091	0.002892805771238603	0.0024306766943447467	0.9531062011432586	0.01772419295176701	1.0071056804877886E-6	2.856920531985249E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016006142740703194	0.0
9	0.008065098064128966	0.0	0.0	0.0	0.0	0.008139592098514834	0.004814194289856418	0.08634382627353734	0.8567017028969525	0.02295962243773406	0.012463624789580066	0.0	0.0	0.0	0.0	0.0	0.0	1.8191921721216666E-4	3.269994484444544E-4	3.4204840392768823E-6
10	0.02550291829952378	0.0	0.0	0.0	0.0	0.0	0.0	4.1594131310594226E-6	0.09970767637510594	0.8195997511432774	0.015386337197796477	0.0	0.0	0.0022452775750366337	0.0011699354868956176	0.005839209639547411	0.020326065290154596	0.004756362179989517	0.004993004246056024	4.6930315348558564E-4
11	0.0016224705605602263	0.0	0.0	0.0	0.0	0.0	0.0	0.003535410743365179	0.035252714982348735	0.011272486076941177	0.8616526222404143	0.05874811496000802	0.01702218377573965	0.00954294432058103	0.0013029249492330739	0.0	0.0	0.0	4.8127390808727734E-5	0.0
12	0.01683722892502943	3.1481580108323824E-4	0.0	1.471360348565249E-4	0.0015654088242999637	0.0	0.0013912035905004284	0.0	0.0	0.0	0.010785446770399661	0.9251234429695886	0.029168975918976242	0.012173909357504894	0.0012692472559915654	0.0	0.0	1.539677664703258E-4	0.001069216785299033	0.0
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032154366470625545	0.029837201341427963	0.943955962043364	0.021295431695185708	0.001695968272959959	0.0	0.0	0.0	0.0	0.0
14	0.014967714128210928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.798719373766649E-4	0.006038696089319586	0.04552365856739715	0.07892504634423335	0.7854076537953338	0.01623436548292566	0.05090663221648553	0.0	0.0015163614387173102	0.0	0.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00138497167689315	0.0026861809522668793	0.01244189270149214	0.01748248677842362	0.04534374571049787	0.8292439401551542	0.04478503439750169	0.009212423623043158	0.018598286150773847	0.01832156150158296	4.994763523705685E-4
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004519215604886569	0.0	0.0	0.0	0.08135319283650212	0.026942039429298497	0.8301375279149006	0.04760944969515619	5.582240698695953E-4	0.0	0.008880350449386622
17	0.06569549786467309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008903522578170227	0.0	0.0	0.0	0.0	0.0033032677671899196	0.029849973007257363	0.7932540068665019	0.05544039999071463	0.0010229282271780216	0.04253040369831487
18	0.13710310703994072	0.07125431904881385	0.012016167967937998	0.0	0.0018061730266247826	7.22979019991389E-4	0.0	0.0	0.0020968472533961216	0.0030415278956365155	0.0	9.692055365479721E-4	0.0	0.0019263659125401524	0.01217996706351731	5.6483718957907165E-6	0.09464938942019958	0.6219545663012365	0.029906218080530313	0.010367518061191124
19	0.0	0.0	0.024917162956517212	0.0	0.02001429733973875	8.014307273221508E-4	0.042451809175325955	0.060236527690744966	0.0025651451560504187	0.009681457451093457	3.55234041349842E-5	0.015819883428413326	0.0	0.0	0.027017415763085254	0.0	0.005442688638850069	0.0686009431473504	0.6854674185974227	0.03694829652395037
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.920511150729774E-4	0.0	0.0	0.0	0.0	0.0010007014905751576	0.01716852425165517	0.12931739008412171	0.020806592016997468	0.02501894981707123	0.806295791224506
