State (Emission order)	H3K36me3	H3K4me1	H3K27ac	H3K4me3	H3K9me3	H3K27me3
1	0.810031377006113	0.007154740042461909	0.009623675087127768	0.004919794186892314	0.016517223640220274	0.005389233215041111
2	0.7846891199260694	0.46037909306262087	0.022486894902388508	0.41591122845871226	0.08138674126536449	0.004224366858892389
3	0.8639750194563742	0.6520874378001519	0.11814745080329594	0.03127981535040614	0.062256960380166926	0.011808561103404044
4	0.8801112575215928	0.9961247097492385	0.7188611613374584	0.33078656411213486	0.09882294985914956	0.006240353840800814
5	0.8370215028531109	0.9973342180158992	0.9946906905333159	1.0	0.20431893401477047	0.007989997723390499
6	0.8332820394571533	0.9607776214045197	0.289562854886885	0.992551933684176	0.10256165737673371	0.009187693413346307
7	0.051950598144449286	0.9106300048772312	0.38169366854466324	0.9991981153892621	0.10125471558344999	0.1632296257818694
8	0.09903667447042615	0.9992180768332666	0.9849694554189529	0.8676929148901033	0.359856010935249	0.02084745064113242
9	0.05349896422166695	0.5820037426245825	0.9974948892900865	0.9995814057029357	0.10813836067708917	0.004617990444722342
10	0.8780535128459277	0.9508879969653381	0.6120283358341154	0.7824647309303758	0.9602099799196387	0.11243718139785824
11	0.10799557668077672	0.8460155031540315	0.12524934787873088	0.34182396263495807	0.7488284247928141	0.05682020132200564
12	0.0585834322170787	0.7099725677868327	0.04489178460600826	0.06682746073090964	0.04434472137859177	0.06434179554993198
13	0.049407325024856105	0.8447510845704855	0.022968024013350657	0.37072439684125114	0.15078695888326815	0.8121871975915316
14	0.014085651752864936	0.011567304622970348	2.3690141080161958E-4	0.0021923045365063202	0.01822974708697762	0.7066572499736816
15	0.011480086438008994	0.0028089808362442167	2.924344505003382E-4	0.002419917233225532	0.01644574064102908	0.10666202661842536
16	0.03469676046069761	0.02379474664331199	2.533857639140345E-4	0.022462908998620145	0.6915093001460841	0.518367310413285
17	0.0011901597550275313	0.001118066158498265	1.0618555173072231E-4	0.0016637662448359602	0.024775955644322757	0.008824762058377804
18	0.02751728835951374	0.00387221931165534	9.545998221876497E-4	0.01875061311460741	0.49366497030231205	0.008973272168416705
19	0.783659443734178	0.0649877852480648	0.014433084419207827	0.09032327490379004	0.8732750436894796	0.006995039590482162
20	0.3286516283480599	0.13956255477165658	0.013593037281160654	0.8808884098211842	0.9691723313796295	0.21013127163186807
